Sample	 
Comments	 
Filename	C:\Data\西出研\梅木\20211102オペ\LiFTFSI20wt_01_0001_0029-1_C_2θ.raw
Goniometer	SmartLab(In-plane)
Attachment	標準Zステージ
Monochromater	None
X	0
Y	0
Z	0.01716
ScanningMode	2Theta
ScanningType	Continuos Scanning
X-Ray	40kV/30mA
入射スリット	0.300mm
受光スリット1	20.000mm
受光スリット2	20.000mm
None	
Start	5
Stop	60
Step	0.02
Speed	21.6746
Theta	0
19.34	4967.09
19.36	5075.46
19.38	5635.39
19.4	5346.4
19.42	5147.71
19.44	5057.4
19.46	4425.23
19.48	4352.98
19.5	5129.65
19.52	4533.6
19.54	4912.9
19.56	4822.59
19.58	4118.17
19.6	4551.66
19.62	5219.96
19.64	4822.59
19.66	4840.66
19.68	4623.91
19.7	4352.98
19.72	4569.72
19.74	4461.35
19.76	4750.34
19.78	4280.73
19.8	4371.04
19.82	4334.92
19.84	4605.85
19.86	4154.29
19.88	4750.34
19.9	4479.41
19.92	4623.91
19.94	4732.28
19.96	4461.35
19.98	3485.99
20	4551.66
20.02	4425.23
20.04	4280.73
20.06	4154.29
20.08	4461.35
20.1	4154.29
20.12	4082.05
20.14	4334.92
20.16	4262.67
20.18	4316.85
20.2	4009.8
20.22	4389.1
20.24	4082.05
20.26	4045.92
20.28	3955.61
20.3	4497.47
20.32	4768.41
20.34	4515.54
20.36	4515.54
20.38	4605.85
20.4	3774.99
20.42	4443.29
20.44	4027.86
20.46	4118.17
20.48	4569.72
20.5	4082.05
20.52	4298.79
20.54	4515.54
20.56	3937.55
20.58	3774.99
20.6	4389.1
20.62	4226.54
20.64	4389.1
20.66	3594.37
20.68	4190.42
20.7	4063.98
20.72	4786.47
20.74	4389.1
20.76	4154.29
20.78	4334.92
20.8	4280.73
20.82	4172.36
20.84	4732.28
20.86	4371.04
20.88	4045.92
20.9	3702.74
20.92	4172.36
20.94	4027.86
20.96	4389.1
20.98	3991.73
21	4063.98
21.02	4208.48
21.04	3955.61
21.06	4497.47
21.08	3973.67
21.1	4316.85
21.12	4407.16
21.14	4118.17
21.16	4515.54
21.18	4678.1
21.2	4100.11
21.22	4479.41
21.24	3973.67
21.26	3865.3
21.28	4244.6
21.3	3847.24
21.32	3883.36
21.34	3756.93
21.36	4334.92
21.38	4063.98
21.4	4190.42
21.42	4136.23
21.44	4334.92
21.46	4551.66
21.48	4443.29
21.5	4100.11
21.52	4208.48
21.54	4371.04
21.56	4334.92
21.58	3702.74
21.6	4623.91
21.62	4316.85
21.64	3901.42
21.66	4316.85
21.68	3937.55
21.7	4244.6
21.72	3865.3
21.74	4226.54
21.76	3901.42
21.78	3955.61
21.8	4280.73
21.82	4027.86
21.84	4190.42
21.86	4136.23
21.88	3720.8
21.9	3485.99
21.92	4009.8
21.94	4298.79
21.96	4262.67
21.98	4082.05
22	4407.16
22.02	4244.6
22.04	3865.3
22.06	3793.05
22.08	4208.48
22.1	3811.11
22.12	3467.93
22.14	3756.93
22.16	4045.92
22.18	4118.17
22.2	3919.49
22.22	4208.48
22.24	3901.42
22.26	4316.85
22.28	3684.68
22.3	3793.05
22.32	3702.74
22.34	4407.16
22.36	4425.23
22.38	4136.23
22.4	3883.36
22.42	4009.8
22.44	3522.12
22.46	3973.67
22.48	3955.61
22.5	4063.98
22.52	4063.98
22.54	4045.92
22.56	4316.85
22.58	3431.81
22.6	3720.8
22.62	3811.11
22.64	3720.8
22.66	3901.42
22.68	4045.92
22.7	3630.49
22.72	4118.17
22.74	4154.29
22.76	3377.62
22.78	3540.18
22.8	3485.99
22.82	4352.98
22.84	3576.31
22.86	3919.49
22.88	3720.8
22.9	3648.55
22.92	3901.42
22.94	3847.24
22.96	3793.05
22.98	3630.49
23	3973.67
23.02	4063.98
23.04	4352.98
23.06	4190.42
23.08	3648.55
23.1	3648.55
23.12	3883.36
23.14	3359.56
23.16	3937.55
23.18	4045.92
23.2	4190.42
23.22	4352.98
23.24	3720.8
23.26	3973.67
23.28	3648.55
23.3	3666.62
23.32	3612.43
23.34	3287.31
23.36	4172.36
23.38	3558.24
23.4	3684.68
23.42	3485.99
23.44	3359.56
23.46	3630.49
23.48	3738.86
23.5	3648.55
23.52	3883.36
23.54	3702.74
23.56	3612.43
23.58	4009.8
23.6	3973.67
23.62	3522.12
23.64	3648.55
23.66	4063.98
23.68	3594.37
23.7	3359.56
23.72	4082.05
23.74	3630.49
23.76	3738.86
23.78	3594.37
23.8	3738.86
23.82	3847.24
23.84	3991.73
23.86	3919.49
23.88	3793.05
23.9	4208.48
23.92	3937.55
23.94	3901.42
23.96	4407.16
23.98	3558.24
24	3774.99
24.02	4136.23
24.04	3865.3
24.06	3865.3
24.08	4082.05
24.1	3738.86
24.12	3774.99
24.14	4389.1
24.16	3829.18
24.18	3522.12
24.2	3955.61
24.22	3594.37
24.24	3576.31
24.26	3359.56
24.28	3540.18
24.3	3377.62
24.32	3413.75
24.34	3160.88
24.36	3359.56
24.38	3269.25
24.4	3756.93
24.42	3449.87
24.44	3467.93
24.46	3793.05
24.48	3684.68
24.5	3504.06
24.52	3215.06
24.54	3684.68
24.56	3341.5
24.58	3377.62
24.6	3016.38
24.62	3178.94
24.64	3648.55
24.66	3756.93
24.68	3323.44
24.7	3377.62
24.72	3287.31
24.74	3594.37
24.76	3160.88
24.78	3666.62
24.8	3630.49
24.82	3395.68
24.84	3160.88
24.86	3160.88
24.88	3016.38
24.9	2980.25
24.92	3485.99
24.94	3197
24.96	3540.18
24.98	3197
25	2817.69
25.02	3377.62
25.04	3178.94
25.06	3016.38
25.08	2926.07
25.1	3052.5
25.12	3431.81
25.14	2998.32
25.16	3070.56
25.18	3124.75
25.2	2980.25
25.22	2998.32
25.24	3142.81
25.26	3413.75
25.28	2835.76
25.3	2835.76
25.32	3251.19
25.34	3395.68
25.36	3341.5
25.38	2962.19
25.4	3359.56
25.42	3142.81
25.44	3160.88
25.46	3251.19
25.48	3305.37
25.5	3178.94
25.52	3485.99
25.54	3124.75
25.56	3287.31
25.58	3178.94
25.6	3233.12
25.62	3106.69
25.64	3160.88
25.66	3449.87
25.68	3413.75
25.7	3052.5
25.72	3359.56
25.74	3522.12
25.76	3377.62
25.78	3359.56
25.8	3160.88
25.82	3883.36
25.84	3558.24
25.86	2926.07
25.88	3449.87
25.9	3558.24
25.92	4118.17
25.94	3793.05
25.96	3558.24
25.98	4027.86
26	3522.12
26.02	3811.11
26.04	3738.86
26.06	3558.24
26.08	3991.73
26.1	4172.36
26.12	4587.79
26.14	4063.98
26.16	4009.8
26.18	4045.92
26.2	4045.92
26.22	4136.23
26.24	3467.93
26.26	3233.12
26.28	3467.93
26.3	3233.12
26.32	2727.38
26.34	2926.07
26.36	3323.44
26.38	3160.88
26.4	2944.13
26.42	2980.25
26.44	2962.19
26.46	2926.07
26.48	3215.06
26.5	3269.25
26.52	2944.13
26.54	2889.94
26.56	2492.58
26.58	2781.57
26.6	2962.19
26.62	2817.69
26.64	2835.76
26.66	2781.57
26.68	2655.14
26.7	2673.2
26.72	2908.01
26.74	2438.39
26.76	2709.32
26.78	2619.01
26.8	2582.89
26.82	2420.33
26.84	2745.45
26.86	2745.45
26.88	2564.82
26.9	3052.5
26.92	2799.63
26.94	2582.89
26.96	2239.71
26.98	2889.94
27	2853.82
27.02	2637.07
27.04	2564.82
27.06	2709.32
27.08	2835.76
27.1	2438.39
27.12	2492.58
27.14	2727.38
27.16	2384.2
27.18	2637.07
27.2	2582.89
27.22	2546.76
27.24	2673.2
27.26	2926.07
27.28	2348.08
27.3	2510.64
27.32	2348.08
27.34	2637.07
27.36	2095.21
27.38	2456.45
27.4	2420.33
27.42	2239.71
27.44	2293.89
27.46	2402.27
27.48	2348.08
27.5	2275.83
27.52	2619.01
27.54	2727.38
27.56	2474.51
27.58	2510.64
27.6	2348.08
27.62	2420.33
27.64	2474.51
27.66	2348.08
27.68	2727.38
27.7	2727.38
27.72	2149.4
27.74	2510.64
27.76	2311.95
27.78	2709.32
27.8	2438.39
27.82	2564.82
27.84	2546.76
27.86	3197
27.88	2691.26
27.9	2167.46
27.92	2546.76
27.94	2311.95
27.96	2564.82
27.98	2492.58
28	2185.52
28.02	2546.76
28.04	2510.64
28.06	2655.14
28.08	2962.19
28.1	2474.51
28.12	2366.14
28.14	2348.08
28.16	2330.02
28.18	2438.39
28.2	2330.02
28.22	2510.64
28.24	2492.58
28.26	2330.02
28.28	2167.46
28.3	2348.08
28.32	2131.33
28.34	2456.45
28.36	2438.39
28.38	2330.02
28.4	2637.07
28.42	2492.58
28.44	2203.58
28.46	2311.95
28.48	2167.46
28.5	2167.46
28.52	2275.83
28.54	2095.21
28.56	2420.33
28.58	2293.89
28.6	2655.14
28.62	2402.27
28.64	2456.45
28.66	2239.71
28.68	2619.01
28.7	2293.89
28.72	2745.45
28.74	2131.33
28.76	2041.02
28.78	2311.95
28.8	2095.21
28.82	2781.57
28.84	2131.33
28.86	2619.01
28.88	2438.39
28.9	2004.9
28.92	2095.21
28.94	1860.4
28.96	2257.77
28.98	2149.4
29	2203.58
29.02	2366.14
29.04	2167.46
29.06	2113.27
29.08	2167.46
29.1	2311.95
29.12	2474.51
29.14	2348.08
29.16	2420.33
29.18	2311.95
29.2	2492.58
29.22	2059.08
29.24	2366.14
29.26	2420.33
29.28	2348.08
29.3	2275.83
29.32	2113.27
29.34	2510.64
29.36	2456.45
29.38	2239.71
29.4	2131.33
29.42	2149.4
29.44	2492.58
29.46	2113.27
29.48	2781.57
29.5	2239.71
29.52	2384.2
29.54	1968.77
29.56	2366.14
29.58	2131.33
29.6	2293.89
29.62	2257.77
29.64	2221.64
29.66	1950.71
29.68	2004.9
29.7	2257.77
29.72	2311.95
29.74	2167.46
29.76	2546.76
29.78	2167.46
29.8	1806.21
29.82	1950.71
29.84	1860.4
29.86	1788.15
29.88	1896.53
29.9	2041.02
29.92	2203.58
29.94	1986.84
29.96	2456.45
29.98	2131.33
30	2348.08
30.02	2022.96
30.04	2420.33
30.06	2257.77
30.08	2077.15
30.1	2221.64
30.12	1878.46
30.14	1806.21
30.16	1932.65
30.18	2203.58
30.2	2257.77
30.22	1968.77
30.24	1752.03
30.26	1986.84
30.28	2149.4
30.3	2131.33
30.32	2311.95
30.34	1788.15
30.36	1950.71
30.38	1878.46
30.4	1932.65
30.42	2041.02
30.44	2095.21
30.46	1914.59
30.48	1896.53
30.5	2095.21
30.52	2004.9
30.54	1697.84
30.56	2059.08
30.58	2239.71
30.6	1986.84
30.62	1878.46
30.64	1896.53
30.66	2095.21
30.68	2059.08
30.7	2330.02
30.72	1986.84
30.74	2293.89
30.76	2185.52
30.78	2022.96
30.8	2257.77
30.82	2059.08
30.84	2203.58
30.86	2131.33
30.88	2167.46
30.9	2059.08
30.92	1914.59
30.94	1896.53
30.96	2293.89
30.98	1752.03
31	2239.71
31.02	2257.77
31.04	1968.77
31.06	1950.71
31.08	2185.52
31.1	1842.34
31.12	2149.4
31.14	1788.15
31.16	1715.9
31.18	1860.4
31.2	1806.21
31.22	1914.59
31.24	2203.58
31.26	1824.28
31.28	2004.9
31.3	1878.46
31.32	1932.65
31.34	1535.28
31.36	1824.28
31.38	2257.77
31.4	2022.96
31.42	2113.27
31.44	2077.15
31.46	1950.71
31.48	1661.72
31.5	1932.65
31.52	1643.66
31.54	2041.02
31.56	1842.34
31.58	1752.03
31.6	2167.46
31.62	1968.77
31.64	1535.28
31.66	1806.21
31.68	2113.27
31.7	1950.71
31.72	1824.28
31.74	2022.96
31.76	1788.15
31.78	1661.72
31.8	1842.34
31.82	1914.59
31.84	1733.97
31.86	1860.4
31.88	1643.66
31.9	1932.65
31.92	1878.46
31.94	1788.15
31.96	1878.46
31.98	2022.96
32	1896.53
32.02	1770.09
32.04	2059.08
32.06	2059.08
32.08	1914.59
32.1	1968.77
32.12	1806.21
32.14	2004.9
32.16	1914.59
32.18	2059.08
32.2	1770.09
32.22	1770.09
32.24	1914.59
32.26	1806.21
32.28	2311.95
32.3	1986.84
32.32	1896.53
32.34	1986.84
32.36	1914.59
32.38	1968.77
32.4	1733.97
32.42	1715.9
32.44	1752.03
32.46	2113.27
32.48	1770.09
32.5	1770.09
32.52	1752.03
32.54	1679.78
32.56	1788.15
32.58	1788.15
32.6	1679.78
32.62	1733.97
32.64	1878.46
32.66	1770.09
32.68	1553.34
32.7	1571.41
32.72	1697.84
32.74	1878.46
32.76	1679.78
32.78	2022.96
32.8	1444.97
32.82	1643.66
32.84	1968.77
32.86	1715.9
32.88	1643.66
32.9	1752.03
32.92	1806.21
32.94	1842.34
32.96	1968.77
32.98	1806.21
33	1661.72
33.02	1733.97
33.04	1661.72
33.06	1607.53
33.08	1625.59
33.1	1390.79
33.12	1788.15
33.14	1589.47
33.16	1553.34
33.18	1715.9
33.2	1408.85
33.22	1481.1
33.24	1589.47
33.26	1770.09
33.28	1246.29
33.3	1752.03
33.32	1553.34
33.34	1824.28
