x,y
13.26,32453.7
13.27,32852.4
13.28,31673.5
13.29,32002.9
13.3,30928.1
13.31,31569.5
13.32,32488.4
13.33,31517.5
13.34,32436.3
13.35,32315
13.36,32176.3
13.37,31448.2
13.38,32245.6
13.39,32939.1
13.4,33632.6
13.41,33025.8
13.42,32557.7
13.43,31656.2
13.44,32297.7
13.45,31534.9
13.46,32471
13.47,32141.6
13.48,31136.1
13.49,33424.5
13.5,31673.5
13.51,31500.2
13.52,31465.5
13.53,31465.5
13.54,31898.9
13.55,32089.6
13.56,32228.3
13.57,33303.2
13.58,32453.7
13.59,31552.2
13.6,31621.5
13.61,32436.3
13.62,31621.5
13.63,31309.5
13.64,32107
13.65,32991.1
13.66,32384.3
13.67,31118.8
13.68,32228.3
13.69,32852.4
13.7,32401.7
13.71,31118.8
13.72,32037.6
13.73,32887.1
13.74,32020.3
13.75,31864.3
13.76,32609.7
13.77,32176.3
13.78,33424.5
13.79,33199.1
13.8,31257.5
13.81,32488.4
13.82,32592.4
13.83,32349.7
13.84,31118.8
13.85,32696.4
13.86,32419
13.87,31777.6
13.88,33095.1
13.89,32401.7
13.9,32835.1
13.91,32644.4
13.92,32627
13.93,32731.1
13.94,32991.1
13.95,33424.5
13.96,32592.4
13.97,32557.7
13.98,33112.5
13.99,31864.3
14,33649.9
14.01,32592.4
14.02,32349.7
14.03,31586.9
14.04,32904.4
14.05,31274.8
14.06,32713.7
14.07,33060.5
14.08,34014
14.09,31777.6
14.1,31985.6
14.11,32783.1
14.12,32783.1
14.13,32089.6
14.14,32505.7
14.15,32349.7
14.16,32505.7
14.17,32332.3
14.18,32401.7
14.19,33268.5
14.2,33441.9
14.21,32800.4
14.22,32107
14.23,32661.7
14.24,31742.9
14.25,32141.6
14.26,32141.6
14.27,32869.8
14.28,32020.3
14.29,31742.9
14.3,33389.9
14.31,32765.7
14.32,32211
14.33,32575
14.34,32453.7
14.35,32973.8
14.36,32557.7
14.37,31968.3
14.38,32384.3
14.39,31586.9
14.4,32627
14.41,33216.5
14.42,33493.9
14.43,31725.6
14.44,32107
14.45,33545.9
14.46,32592.4
14.47,32315
14.48,32783.1
14.49,32887.1
14.5,32627
14.51,32817.8
14.52,32991.1
14.53,32575
14.54,32991.1
14.55,33771.3
14.56,32245.6
14.57,32349.7
14.58,32193.6
14.59,32159
14.6,33355.2
14.61,32488.4
14.62,32176.3
14.63,31084.1
14.64,32037.6
14.65,32627
14.66,32800.4
14.67,32904.4
14.68,32627
14.69,31274.8
14.7,32609.7
14.71,30824.1
14.72,31621.5
14.73,33025.8
14.74,32575
14.75,32557.7
14.76,32193.6
14.77,32193.6
14.78,32315
14.79,32991.1
14.8,33147.1
14.81,32679.1
14.82,32835.1
