Sample	 
Comments	 
Filename	C:\Data\西出研\梅木\20211102オペ\LiFTFSI_03_0001_0099-4_C_2θ.raw
Goniometer	SmartLab(In-plane)
Attachment	標準Zステージ
Monochromater	None
X	0
Y	0
Z	0.00908
ScanningMode	2Theta
ScanningType	Continuos Scanning
X-Ray	40kV/30mA
入射スリット	0.300mm
受光スリット1	20.000mm
受光スリット2	20.000mm
None	
Start	5
Stop	60
Step	0.02
Speed	21.6746
Theta	0
32.44	1155.98
32.46	921.169
32.48	1047.6
32.5	1300.47
32.52	1029.54
32.54	993.418
32.56	1083.73
32.58	1372.72
32.6	1444.97
32.62	1535.28
32.64	1806.21
32.66	1914.59
32.68	1679.78
32.7	1860.4
32.72	1553.34
32.74	1426.91
32.76	1282.41
32.78	1083.73
32.8	1390.79
32.82	1318.54
32.84	993.418
32.86	830.859
32.88	957.294
32.9	848.921
32.92	1029.54
32.94	866.983
32.96	1083.73
32.98	939.232
33	812.797
33.02	758.61
33.04	848.921
33.06	830.859
33.08	885.045
33.1	812.797
33.12	830.859
33.14	722.486
33.16	614.113
33.18	848.921
33.2	668.299
33.22	830.859
33.24	776.672
33.26	885.045
33.28	848.921
33.3	686.362
33.32	740.548
33.34	632.175
33.36	577.989
33.38	541.864
33.4	885.045
33.42	577.989
33.44	704.424
33.46	722.486
33.48	632.175
33.5	704.424
33.52	776.672
33.54	921.169
33.56	903.107
33.58	921.169
33.6	1011.48
33.62	921.169
33.64	885.045
33.66	1011.48
33.68	921.169
33.7	740.548
33.72	885.045
33.74	776.672
33.76	1083.73
33.78	975.356
33.8	885.045
33.82	650.237
33.84	614.113
33.86	812.797
33.88	614.113
33.9	885.045
33.92	794.734
33.94	722.486
33.96	921.169
33.98	866.983
34	939.232
34.02	993.418
34.04	1047.6
34.06	1011.48
34.08	939.232
34.1	885.045
34.12	722.486
34.14	704.424
34.16	650.237
34.18	939.232
34.2	704.424
34.22	686.362
34.24	632.175
34.26	704.424
34.28	722.486
34.3	758.61
34.32	577.989
34.34	686.362
34.36	848.921
34.38	722.486
34.4	740.548
34.42	740.548
34.44	830.859
34.46	975.356
34.48	776.672
34.5	758.61
34.52	812.797
34.54	596.051
34.56	722.486
34.58	650.237
34.6	577.989
