x,y
20.72,23057.4
20.73,23837.5
20.74,21757.1
20.75,22624
20.76,22519.9
20.77,23889.5
20.78,23698.8
20.79,22658.6
20.8,23265.4
20.81,22728
20.82,23126.7
20.83,22832
20.84,23057.4
20.85,23074.7
20.86,22415.9
20.87,23317.4
20.88,23300.1
20.89,23334.8
20.9,22294.6
20.91,23560.1
20.92,22069.2
20.93,23196.1
20.94,23698.8
20.95,22346.6
20.96,22710.6
20.97,22728
20.98,22589.3
20.99,22988
21,22814.7
21.01,23681.5
21.02,22467.9
21.03,23612.1
21.04,22797.3
21.05,23265.4
21.06,23716.2
21.07,23126.7
21.08,23490.8
21.09,22641.3
21.1,21791.8
21.11,22936
21.12,21999.9
21.13,21098.4
21.14,22034.5
21.15,22676
21.16,22970.7
21.17,23733.5
21.18,22606.6
21.19,24270.9
21.2,21219.7
21.21,22381.3
21.22,22450.6
21.23,21947.8
21.24,22554.6
21.25,22797.3
21.26,23490.8
21.27,23941.5
21.28,22918.7
21.29,23317.4
21.3,23074.7
21.31,22450.6
21.32,22589.3
21.33,23958.9
21.34,22710.6
21.35,22138.5
21.36,22121.2
21.37,23386.8
21.38,23854.8
21.39,24479
21.4,23352.1
21.41,22398.6
21.42,22190.6
21.43,23022.7
21.44,23144.1
21.45,23022.7
21.46,22901.3
21.47,23386.8
21.48,24218.9
21.49,23230.7
21.5,22814.7
21.51,23178.7
21.52,22554.6
21.53,22363.9
21.54,23005.4
21.55,22519.9
21.56,23820.2
21.57,22797.3
21.58,23716.2
21.59,23213.4
21.6,21982.5
21.61,22814.7
21.62,23421.4
21.63,22936
21.64,23906.9
21.65,22988
21.66,22797.3
21.67,23490.8
21.68,22173.2
21.69,22329.2
21.7,22519.9
21.71,23820.2
21.72,22797.3
21.73,23421.4
21.74,23126.7
21.75,22138.5
21.76,23248.1
21.77,23005.4
21.78,22398.6
21.79,22121.2
21.8,22658.6
21.81,23456.1
21.82,22311.9
21.83,22069.2
21.84,22103.9
21.85,23317.4
21.86,23126.7
21.87,22797.3
21.88,23022.7
21.89,22467.9
21.9,23057.4
21.91,21999.9
21.92,23629.5
21.93,22537.3
21.94,23334.8
21.95,22398.6
21.96,22762.7
21.97,23698.8
21.98,22884
21.99,22485.3
22,22572
22.01,22762.7
22.02,22693.3
22.03,22866.7
22.04,22866.7
22.05,22190.6
22.06,22554.6
22.07,23334.8
22.08,21930.5
22.09,21913.2
22.1,21791.8
22.11,22953.4
22.12,22294.6
22.13,21843.8
22.14,22745.3
22.15,22728
22.16,21895.8
22.17,21999.9
22.18,22311.9
22.19,22658.6
22.2,21445.1
22.21,22155.9
22.22,22780
22.23,22572
22.24,22051.9
22.25,23092
22.26,22710.6
22.27,21861.2
22.28,21393.1
22.29,22970.7
22.3,21722.5
22.31,22381.3
22.32,22606.6
22.33,22051.9
22.34,21809.2
22.35,21722.5
22.36,22953.4
22.37,22693.3
22.38,22780
22.39,22693.3
22.4,21323.7
22.41,22363.9
22.42,22745.3
22.43,21999.9
22.44,21583.8
22.45,21722.5
22.46,22381.3
22.47,22346.6
22.48,22485.3
22.49,22797.3
22.5,22259.9
22.51,22225.2
22.52,21913.2
22.53,23109.4
22.54,22138.5
22.55,23126.7
22.56,22138.5
22.57,21843.8
22.58,22485.3
22.59,21653.1
22.6,21913.2
22.61,22537.3
22.62,21514.4
22.63,21514.4
22.64,22034.5
22.65,22034.5
22.66,22693.3
22.67,22589.3
22.68,21445.1
22.69,22398.6
22.7,22918.7
22.71,22381.3
22.72,21531.8
22.73,21670.5
22.74,21739.8
22.75,22467.9
22.76,22346.6
22.77,21861.2
22.78,22259.9
22.79,21982.5
22.8,22797.3
22.81,22017.2
22.82,21653.1
22.83,22225.2
22.84,21583.8
22.85,23542.8
22.86,22415.9
22.87,22259.9
22.88,21289.1
22.89,22311.9
22.9,22745.3
22.91,23057.4
22.92,22311.9
22.93,22572
22.94,22572
22.95,22311.9
22.96,22398.6
22.97,22554.6
22.98,22259.9
22.99,23542.8
23,23334.8
23.01,23144.1
23.02,22970.7
23.03,22589.3
23.04,22918.7
23.05,22780
23.06,23681.5
23.07,22676
23.08,23664.1
23.09,23317.4
23.1,22918.7
23.11,23889.5
23.12,23334.8
23.13,23248.1
23.14,23768.2
23.15,22676
23.16,23282.7
23.17,23334.8
23.18,23022.7
23.19,22519.9
23.2,22329.2
23.21,23594.8
23.22,21861.2
23.23,23144.1
23.24,22693.3
23.25,22242.6
23.26,22693.3
23.27,22710.6
23.28,21670.5
23.29,22103.9
23.3,22554.6
23.31,22138.5
23.32,21947.8
23.33,23074.7
23.34,23074.7
23.35,22155.9
23.36,21999.9
23.37,22728
23.38,22121.2
23.39,22814.7
23.4,22624
23.41,23300.1
23.42,21826.5
23.43,22398.6
23.44,22277.2
23.45,21323.7
23.46,22519.9
23.47,22745.3
23.48,22589.3
23.49,21965.2
23.5,21670.5
23.51,22485.3
23.52,21913.2
23.53,22554.6
23.54,22502.6
23.55,22658.6
23.56,22450.6
23.57,20942.3
23.58,21566.4
23.59,21653.1
23.6,22173.2
23.61,23404.1
23.62,22034.5
23.63,21341.1
23.64,21254.4
23.65,20942.3
23.66,21358.4
23.67,20734.3
23.68,20994.3
23.69,21271.7
23.7,20821
23.71,22034.5
23.72,21601.1
23.73,21115.7
23.74,21341.1
23.75,20821
23.76,21895.8
23.77,21635.8
23.78,21237.1
23.79,20508.9
23.8,20560.9
23.81,20266.2
23.82,20873
23.83,21115.7
23.84,20266.2
23.85,21982.5
23.86,20734.3
23.87,21098.4
23.88,20439.6
23.89,21358.4
23.9,20803.6
23.91,21046.4
23.92,20977
23.93,22433.3
23.94,20526.3
23.95,20907.7
23.96,20907.7
23.97,20578.3
23.98,21167.7
23.99,20179.5
24,21254.4
24.01,21029
24.02,21046.4
24.03,21289.1
24.04,21462.4
24.05,20890.3
24.06,20907.7
24.07,20751.6
24.08,21219.7
24.09,20907.7
24.1,21219.7
24.11,20959.7
24.12,21358.4
24.13,20612.9
24.14,20058.2
24.15,20612.9
24.16,20925
24.17,21098.4
24.18,21133
24.19,21254.4
24.2,20058.2
24.21,21219.7
24.22,22346.6
24.23,20474.3
24.24,20890.3
24.25,20404.9
24.26,20751.6
24.27,20682.3
24.28,20144.9
24.29,21254.4
24.3,20543.6
24.31,21271.7
24.32,21826.5
24.33,20751.6
24.34,22329.2
24.35,20873
24.36,21393.1
24.37,20630.3
24.38,21202.4
24.39,20456.9
24.4,21289.1
