x,y
17.29,34690.1
17.3,27998.2
17.31,24669.7
17.32,23109.4
17.33,21167.7
17.34,19278
17.35,19399.4
17.36,18723.3
17.37,18879.3
17.38,18393.9
17.39,17527.1
17.4,17128.3
17.41,17371
17.42,17059
17.43,16677.6
17.44,17492.4
17.45,16053.5
17.46,16746.9
17.47,16400.2
17.48,16677.6
17.49,16209.5
17.5,16642.9
17.51,16313.5
17.52,17215
17.53,15672.1
17.54,16608.2
17.55,15256
17.56,16781.6
17.57,16521.6
17.58,16382.9
17.59,16452.2
17.6,16955
17.61,16677.6
17.62,16174.8
17.63,16400.2
17.64,16140.2
17.65,15949.5
17.66,16244.2
17.67,16746.9
17.68,15966.8
17.69,16434.9
17.7,16642.9
17.71,15914.8
17.72,15533.4
17.73,15394.7
17.74,16573.6
17.75,16070.8
17.76,15429.4
17.77,15498.7
17.78,16313.5
17.79,16070.8
17.8,15949.5
17.81,16694.9
17.82,16122.8
17.83,16538.9
17.84,16330.9
17.85,15672.1
17.86,16140.2
17.87,16070.8
17.88,16486.9
17.89,16417.5
17.9,16469.6
17.91,16556.2
17.92,15706.8
17.93,16053.5
17.94,16556.2
17.95,17007
17.96,16729.6
17.97,16764.3
17.98,16434.9
17.99,16729.6
18,16764.3
18.01,17804.5
18.02,16504.2
18.03,17353.7
18.04,17319
18.05,17353.7
18.06,17301.7
18.07,17544.4
18.08,18341.9
18.09,18324.5
18.1,18844.6
18.11,20335.6
18.12,19954.2
18.13,20162.2
18.14,19867.5
18.15,20058.2
18.16,20456.9
18.17,22051.9
18.18,21982.5
18.19,22138.5
18.2,23872.2
18.21,24253.6
18.22,26021.9
18.23,26351.3
18.24,28102.3
18.25,27148.8
18.26,29870.6
18.27,31240.1
18.28,33112.5
18.29,34811.4
18.3,38417.4
18.31,40584.4
18.32,42664.8
18.33,43982.4
18.34,44918.5
18.35,45976.1
18.36,48195.1
18.37,48507.2
18.38,46548.2
18.39,44502.5
18.4,40549.8
18.41,38296
18.42,33129.8
18.43,29749.2
18.44,26594
18.45,23456.1
18.46,19919.5
18.47,19538.1
18.48,18376.6
18.49,17908.5
18.5,16955
18.51,16140.2
18.52,16036.1
18.53,16348.2
18.54,16642.9
18.55,16677.6
18.56,17128.3
18.57,17319
18.58,17960.5
18.59,17128.3
18.6,17371
18.61,17388.4
18.62,16746.9
18.63,15862.8
18.64,15932.1
18.65,17475.1
18.66,16885.6
18.67,16920.3
18.68,16504.2
18.69,17787.1
18.7,15706.8
18.71,17440.4
18.72,16989.6
18.73,17891.1
18.74,18047.2
18.75,18931.3
18.76,18133.8
18.77,17839.1
18.78,19416.7
18.79,20110.2
18.8,19330.1
18.81,18879.3
18.82,20231.5
18.83,19607.4
18.84,20231.5
18.85,21271.7
18.86,21913.2
18.87,22693.3
18.88,24062.9
18.89,26784.7
18.9,27651.5
18.91,28310.3
18.92,29749.2
18.93,32488.4
18.94,34672.7
18.95,35331.5
18.96,37810.6
18.97,40965.8
18.98,43601
18.99,45872
19,49426
19.01,50310.1
19.02,54089.5
19.03,57903.5
19.04,62289.6
19.05,66970.4
19.06,73142.1
19.07,78308.4
19.08,87063.3
19.09,91432
19.1,101002
19.11,107850
19.12,116327
19.13,122898
19.14,129641
19.15,136905
19.16,140442
19.17,139350
19.18,136784
19.19,127526
19.2,111334
19.21,98071.9
19.22,83734.7
19.23,71477.9
19.24,59429.1
19.25,46218.8
19.26,37723.9
19.27,31153.5
19.28,26542
19.29,22450.6
19.3,21237.1
19.31,21375.7
19.32,18827.3
19.33,20092.9
19.34,20196.9
19.35,19711.5
19.36,20404.9
19.37,19590.1
19.38,20508.9
19.39,20855.7
19.4,21497.1
19.41,22537.3
19.42,22242.6
19.43,23074.7
19.44,23178.7
19.45,24132.2
19.46,25224.4
19.47,26160.6
19.48,28483.7
19.49,27998.2
19.5,29957.2
19.51,30910.7
19.52,31378.8
19.53,30252
19.54,30581.4
19.55,29575.8
19.56,27287.4
19.57,26056.6
19.58,23421.4
19.59,22884
19.6,20769
19.61,18636.6
19.62,18931.3
19.63,17405.7
19.64,16486.9
19.65,15585.4
19.66,15290.7
19.67,15741.4
19.68,14493.2
19.69,15290.7
19.7,15342.7
19.71,15204
19.72,14735.9
19.73,14597.2
19.74,14701.2
19.75,14510.5
19.76,14996
19.77,14198.5
19.78,15290.7
19.79,14787.9
19.8,14822.6
19.81,14649.2
19.82,14181.2
19.83,14961.3
19.84,14198.5
19.85,14909.3
19.86,15221.3
19.87,14701.2
19.88,13869.1
19.89,14163.8
19.9,13678.4
19.91,14163.8
19.92,14250.5
19.93,14614.6
19.94,14267.8
19.95,14770.6
19.96,13782.4
19.97,13557
19.98,14406.5
19.99,14614.6
20,13782.4
20.01,14181.2
20.02,14042.5
20.03,13539.7
20.04,14007.8
20.05,14250.5
20.06,14181.2
20.07,13990.5
20.08,13695.7
20.09,15169.3
20.1,15100
20.11,14285.2
20.12,14614.6
20.13,14770.6
20.14,13765.1
20.15,13262.3
20.16,14250.5
20.17,13383.7
20.18,12880.9
20.19,13487.7
20.2,13955.8
20.21,14285.2
20.22,13730.4
20.23,13765.1
20.24,13227.7
20.25,13505
20.26,13609.1
20.27,14285.2
20.28,14025.1
20.29,13921.1
20.3,12794.2
20.31,13123.6
20.32,12898.3
20.33,14354.5
20.34,14337.2
20.35,13297
20.36,13990.5
20.37,14181.2
20.38,13973.1
20.39,13851.8
20.4,13990.5
20.41,13799.8
20.42,13331.7
20.43,13955.8
20.44,13366.3
